TimeSeries ID,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-0.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-1.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:backup-mt-1-instance-2.project_id:master-thesis-benchmark.zone:europe-west6-c,instance/cpu/utilization.gce_instance.ALIGN_MEAN.REDUCE_MEAN.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/cpu/utilization".name:test.project_id:master-thesis-benchmark.zone:us-central1-a
project_id,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark,master-thesis-benchmark
zone,europe-west6-c,europe-west6-c,europe-west6-c,europe-west6-c,us-central1-a
system_labels.name,backup-mt-1,backup-mt-1-instance-0,backup-mt-1-instance-1,backup-mt-1-instance-2,test
Tue Jul 11 2023 18:25:00 GMT+0200 (Central European Summer Time),0.009394613686990853,0.5432594481420407,0.5284529233285411,0.5562542901189379,undefined
Tue Jul 11 2023 18:30:00 GMT+0200 (Central European Summer Time),0.00945658970224334,0.5643563508578519,0.5240001850540951,0.5180847024348472,undefined
Tue Jul 11 2023 18:35:00 GMT+0200 (Central European Summer Time),0.009912130603282398,0.5338877506981043,0.5389165370888076,0.5382517116922009,undefined
Tue Jul 11 2023 18:40:00 GMT+0200 (Central European Summer Time),0.011162672623255881,0.54315744563249,0.5646778526715388,0.538133087396615,undefined
Tue Jul 11 2023 18:45:00 GMT+0200 (Central European Summer Time),0.008465483128781367,0.5193099281647361,0.5269025714181741,0.5481648150311502,undefined
Tue Jul 11 2023 18:50:00 GMT+0200 (Central European Summer Time),0.009377535587060871,0.5405478132088561,0.5276158944497424,0.5371245647335096,undefined
Tue Jul 11 2023 18:55:00 GMT+0200 (Central European Summer Time),0.0078005275953364605,0.528411214323387,0.52955382029954,0.5283766266533559,undefined
Tue Jul 11 2023 19:00:00 GMT+0200 (Central European Summer Time),0.010340600091767555,0.5438442457372397,0.5355257920486414,0.5649464310213806,undefined
Tue Jul 11 2023 19:05:00 GMT+0200 (Central European Summer Time),0.00596765527867016,0.5490920759160174,0.5479722072598088,0.5305277596278454,undefined
Tue Jul 11 2023 19:10:00 GMT+0200 (Central European Summer Time),0.0030332902860360873,0.5436239607971067,0.5653871877710783,0.5482299867077988,undefined
Tue Jul 11 2023 19:15:00 GMT+0200 (Central European Summer Time),0.0024932267978844415,0.5239081273980961,0.5438813108629923,0.5422804726446824,undefined
Tue Jul 11 2023 19:20:00 GMT+0200 (Central European Summer Time),0.002105766226832202,0.5564511089668305,0.5293734532828148,0.5296877099428244,undefined
Tue Jul 11 2023 19:25:00 GMT+0200 (Central European Summer Time),0.0024043626705679347,0.5800794277318951,0.5218051598934895,0.5445575025975844,undefined
Tue Jul 11 2023 19:30:00 GMT+0200 (Central European Summer Time),0.00216300228232285,0.5233947354702619,0.5450418067793483,0.529204172996912,undefined
Tue Jul 11 2023 19:35:00 GMT+0200 (Central European Summer Time),0.002091438002665503,0.5170100835084093,0.5518990779727877,0.5330596248790668,undefined
Tue Jul 11 2023 19:40:00 GMT+0200 (Central European Summer Time),0.0022558116497839362,0.5292496482243921,0.5225626677778411,0.579560327715141,undefined
Tue Jul 11 2023 19:45:00 GMT+0200 (Central European Summer Time),0.0025340480381510133,0.5557610082830433,0.542096102193888,0.5180289282350987,undefined
Tue Jul 11 2023 19:50:00 GMT+0200 (Central European Summer Time),0.0023748647730432518,0.5626978513915765,0.5361430916306835,0.5291814011049549,undefined
Tue Jul 11 2023 19:55:00 GMT+0200 (Central European Summer Time),0.0027297057354007848,0.5431709401353874,0.5800876991665731,0.5258348938616109,undefined
Tue Jul 11 2023 20:00:00 GMT+0200 (Central European Summer Time),0.0021370644721082498,0.5464194105726105,0.5236817923933026,0.5459785918582353,undefined
Tue Jul 11 2023 20:05:00 GMT+0200 (Central European Summer Time),0.0025365540605283366,0.5702963148681708,0.538271783495593,0.558797514797934,undefined
Tue Jul 11 2023 20:10:00 GMT+0200 (Central European Summer Time),0.0023898482850351383,0.5356365279553453,0.5444289625651284,0.5348434484087587,undefined
Tue Jul 11 2023 20:15:00 GMT+0200 (Central European Summer Time),0.002063075186382169,0.5219017250871334,0.526238741964668,0.5450818875170897,undefined
Tue Jul 11 2023 20:20:00 GMT+0200 (Central European Summer Time),0.002693159760110575,0.5304672546333828,0.5290509620079744,0.5430723147092916,undefined
Tue Jul 11 2023 20:25:00 GMT+0200 (Central European Summer Time),0.0022535915752905566,0.5567001584700484,0.5381536048731201,0.5263194125169836,undefined
Tue Jul 11 2023 20:30:00 GMT+0200 (Central European Summer Time),0.0026656327828398696,0.5429752351708643,0.5342589975519574,0.5438323581756656,undefined
Tue Jul 11 2023 20:35:00 GMT+0200 (Central European Summer Time),0.004032943467545919,0.5353446422224442,0.5363920645312524,0.5298585527799332,undefined
Tue Jul 11 2023 20:40:00 GMT+0200 (Central European Summer Time),0.005052826683477179,0.569651768844257,0.5476860022675889,0.5417674560342431,undefined
